Yas,Cinsiyet,MdnHal,EgtDrm,Tecrube,Stajyer/ogrenci,YagciFiter,Guverte Zabiti,Makina Zabiti,Elektrikci,Ikinci Muhendis,Ikinci Kaptan,Sinirli Kaptan,Kaptan,Basmuhendis,emniyet,memnuniyet
41,1,1,4,20,0,0,0,0,0,0,0,0,0,1,3.1904761904762,3.5833333333333
26,0,0,4,1,0,0,1,0,0,0,0,0,0,0,3.1666666666667,3.4166666666667
26,1,0,3,2,0,0,0,1,0,0,0,0,0,0,2.6666666666667,2.9166666666667
29,0,0,3,6,0,0,1,0,0,0,0,0,0,0,3.1666666666667,3.4166666666667
26,0,0,4,1,0,0,0,1,0,0,0,0,0,0,2.4047619047619,2.6666666666667
26,1,0,4,3,0,0,1,0,0,0,0,0,0,0,3.3571428571429,3.75
26,1,0,3,4,0,0,0,1,0,0,0,0,0,0,3.3809523809524,3.25
26,1,1,3,3,0,0,0,1,0,0,0,0,0,0,2.7619047619048,2.9166666666667
29,0,0,3,6,0,0,0,0,0,0,1,0,0,0,3.3333333333333,3.5833333333333
22,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.2380952380952,3.4166666666667
23,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3.6428571428571,4.1666666666667
24,0,0,3,1,1,0,0,0,0,0,0,0,0,0,3.452380952381,3.5833333333333
22,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.3333333333333,3.25
23,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.2380952380952,3.75
23,1,0,3,0.6,1,0,0,0,0,0,0,0,0,0,3.2619047619048,4
24,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.7142857142857,3.8333333333333
23,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.452380952381,4
27,1,0,3,1,0,0,0,1,0,0,0,0,0,0,3.452380952381,3.8333333333333
30,0,0,4,8,0,0,0,0,0,0,0,0,1,0,3.3333333333333,3.75
27,1,0,3,4,0,0,0,1,0,0,0,0,0,0,3.5,4.0833333333333
25,1,0,3,1,1,0,0,0,0,0,0,0,0,0,2.6666666666667,3
27,0,1,4,1,0,0,0,1,0,0,0,0,0,0,2.9285714285714,3.0833333333333
23,1,0,3,0.5,1,0,0,0,0,0,0,0,0,0,3.2380952380952,3.3333333333333
31,1,0,3,7,0,0,0,0,0,0,1,0,0,0,3.3095238095238,3.1666666666667
20,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.452380952381,3.5833333333333
23,0,0,3,1,0,0,0,1,0,0,0,0,0,0,3.4047619047619,3.5833333333333
35,1,1,4,7,0,0,0,0,0,0,0,0,1,0,3.4047619047619,3.25
25,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.1190476190476,3.3333333333333
34,1,1,2,16,0,0,0,0,0,0,0,1,0,0,1.4047619047619,1.4166666666667
25,1,0,3,2,0,0,0,1,0,0,0,0,0,0,3.1904761904762,3.5833333333333
27,1,1,3,4,0,0,0,1,0,0,0,0,0,0,3.5952380952381,4.25
34,1,1,3,7,0,0,0,0,0,1,0,0,0,0,3.8809523809524,4.4166666666667
29,1,1,1,7,0,1,0,0,0,0,0,0,0,0,3.3809523809524,4
37,1,1,3,13,0,0,0,0,0,0,0,0,1,0,3.452380952381,3.8333333333333
40,1,1,1,7,0,1,0,0,0,0,0,0,0,0,3,3.3333333333333
30,1,0,3,4,0,0,0,1,0,0,0,0,0,0,3.3095238095238,3.75
48,1,1,3,27,0,0,0,0,0,0,0,0,0,1,3.1190476190476,3.3333333333333
41,1,1,3,20,0,0,0,0,0,0,0,0,1,0,3.2142857142857,3.6666666666667
24,1,0,3,2,0,0,0,1,0,0,0,0,0,0,3.6428571428571,3.75
24,1,0,1,5,0,1,0,0,0,0,0,0,0,0,3.6666666666667,4.1666666666667
28,0,0,3,3,0,0,1,0,0,0,0,0,0,0,3.6190476190476,3.8333333333333
25,1,0,3,1.5,0,0,1,0,0,0,0,0,0,0,3.5952380952381,4.0833333333333
36,1,1,4,11,0,0,0,0,0,0,0,0,1,0,3.4285714285714,3.9166666666667
26,1,0,3,3,0,0,1,0,0,0,0,0,0,0,3.1904761904762,3.25
25,1,0,3,0.5,0,0,1,0,0,0,0,0,0,0,3.3333333333333,4
26,1,0,3,3,0,0,1,0,0,0,0,0,0,0,3.3333333333333,3.3333333333333
22,1,0,3,1,1,0,0,0,0,0,0,0,0,0,3.3095238095238,3.4166666666667
29,1,1,4,6,0,0,0,0,0,1,0,0,0,0,2.5714285714286,3.0833333333333
33,1,1,3,10,0,0,0,0,0,0,0,0,0,1,3.3095238095238,2.9166666666667
30,0,0,4,0.5,1,0,0,0,0,0,0,0,0,0,2.8571428571429,3.3333333333333
27,1,0,3,2,0,0,1,0,0,0,0,0,0,0,3.2857142857143,3.5833333333333
26,0,1,3,2,0,0,1,0,0,0,0,0,0,0,3.0238095238095,2.6666666666667
29,1,1,3,5,0,0,0,0,0,1,0,0,0,0,3.7857142857143,3.5833333333333
26,1,0,3,1,0,0,1,0,0,0,0,0,0,0,4.1190476190476,4.6666666666667
26,1,0,3,1,0,0,0,1,0,0,0,0,0,0,3.5952380952381,4.25
39,1,1,3,10,0,0,0,0,0,0,1,0,0,0,3.4285714285714,3.8333333333333
28,1,0,3,5,0,0,0,0,0,1,0,0,0,0,3.3333333333333,3.75
37,1,1,1,20,0,0,0,0,1,0,0,0,0,0,2.1428571428571,2.9166666666667
22,1,0,3,1,1,0,0,0,0,0,0,0,0,0,4.1190476190476,4.6666666666667
25,0,1,3,2,0,0,0,1,0,0,0,0,0,0,3.0238095238095,3.6666666666667
26,0,1,4,1,0,0,1,0,0,0,0,0,0,0,2.8809523809524,3.1666666666667
35,1,1,3,10,0,0,0,0,0,0,0,0,1,0,3.7142857142857,4.5833333333333
